,have_inv,intervallo
505,1,"(34800.0, 35000.0]"
506,1,"(0.0, 200.0]"
507,0,"(-1600.0, -1400.0]"
508,1,"(0.0, 200.0]"
509,1,"(-200.0, 0.0]"
510,1,"(200.0, 400.0]"
511,1,"(2200.0, 2400.0]"
512,1,"(22600.0, 22800.0]"
513,0,"(-400.0, -200.0]"
514,1,"(34600.0, 34800.0]"
515,1,"(-200.0, 0.0]"
516,1,"(33000.0, 33200.0]"
517,1,"(22000.0, 22200.0]"
518,1,"(1600.0, 1800.0]"
519,1,"(0.0, 200.0]"
520,1,"(200.0, 400.0]"
521,1,"(23800.0, 24000.0]"
522,1,"(0.0, 200.0]"
523,1,"(0.0, 200.0]"
524,1,"(13400.0, 13600.0]"
525,1,"(0.0, 200.0]"
526,1,"(17600.0, 17800.0]"
527,1,"(400.0, 600.0]"
528,1,"(0.0, 200.0]"
529,1,"(40600.0, 40800.0]"
530,1,"(-200.0, 0.0]"
531,1,"(11200.0, 11400.0]"
532,0,"(0.0, 200.0]"
534,1,"(39000.0, 39200.0]"
535,1,"(0.0, 200.0]"
536,1,"(0.0, 200.0]"
537,0,"(0.0, 200.0]"
538,1,"(0.0, 200.0]"
539,1,"(10600.0, 10800.0]"
540,1,"(0.0, 200.0]"
541,0,"(0.0, 200.0]"
542,1,"(2600.0, 2800.0]"
543,1,"(200.0, 400.0]"
544,1,"(200.0, 400.0]"
545,1,"(0.0, 200.0]"
547,1,"(40600.0, 40800.0]"
548,1,"(0.0, 200.0]"
550,1,"(0.0, 200.0]"
551,1,"(600.0, 800.0]"
552,0,"(9400.0, 9600.0]"
553,0,"(-200.0, 0.0]"
554,1,"(1600.0, 1800.0]"
555,1,"(18800.0, 19000.0]"
556,1,"(0.0, 200.0]"
557,0,"(-1800.0, -1600.0]"
558,1,"(0.0, 200.0]"
559,1,"(0.0, 200.0]"
560,1,"(400.0, 600.0]"
561,1,"(1000.0, 1200.0]"
562,1,"(400.0, 600.0]"
563,1,"(40800.0, 41000.0]"
564,0,"(-200.0, 0.0]"
565,1,"(40600.0, 40800.0]"
566,1,"(400.0, 600.0]"
567,1,"(27200.0, 27400.0]"
568,1,"(0.0, 200.0]"
569,1,"(400.0, 600.0]"
570,1,"(0.0, 200.0]"
571,1,"(-200.0, 0.0]"
572,1,"(0.0, 200.0]"
573,1,"(0.0, 200.0]"
574,1,"(0.0, 200.0]"
575,0,"(-200.0, 0.0]"
576,1,"(40200.0, 40400.0]"
577,1,"(2200.0, 2400.0]"
578,1,"(0.0, 200.0]"
579,1,"(-200.0, 0.0]"
580,1,"(0.0, 200.0]"
581,1,"(200.0, 400.0]"
582,1,"(19200.0, 19400.0]"
